GEOID,District0,District1,District2
01073012917,264.0,2151.0,2671.0
01073012918,264.0,2151.0,2671.0
01073012919,264.0,2151.0,2671.0
01073012920,264.0,2151.0,2671.0
01073012921,264.0,2151.0,2671.0
01073013002,265.0,2151.0,2671.0
01073013100,265.0,2151.0,2671.0
01073013200,265.0,2151.0,2671.0
01073013300,265.0,2151.0,2671.0
01073013400,265.0,491.0,2671.0
01073013601,265.0,491.0,2671.0
01073013801,265.0,491.0,2671.0
01073013901,265.0,491.0,2671.0
01073013902,265.0,491.0,2671.0
01073014001,265.0,491.0,2671.0
01073014002,265.0,491.0,2671.0
01073014104,265.0,491.0,2671.0
01073014105,265.0,2151.0,2671.0
01073014106,265.0,491.0,2671.0
01073014107,265.0,491.0,2671.0
01073014205,265.0,2151.0,2671.0
01073014206,265.0,2151.0,2671.0
01073014207,265.0,2151.0,2671.0
01073014208,265.0,2151.0,2671.0
01073014209,265.0,2151.0,2671.0
01073014301,265.0,2151.0,2671.0
01073014303,265.0,2151.0,2671.0
01073014304,265.0,2151.0,2671.0
01073014404,264.0,2151.0,2671.0
01073014405,264.0,2151.0,2671.0
01073014406,264.0,2151.0,2671.0
01073014408,264.0,2151.0,2671.0
01073014409,264.0,2151.0,2671.0
01073014410,264.0,2151.0,2671.0
01073014412,265.0,2151.0,2671.0
01073014414,264.0,2151.0,2671.0
01073014415,265.0,2151.0,2671.0
01075030000,265.0,478.0,5026.0
01075030101,265.0,478.0,5026.0
01075030102,265.0,478.0,5026.0
01075030200,265.0,491.0,5026.0
01077010100,1.0,478.0,2631.0
01077010200,1.0,478.0,5026.0
01077010300,1.0,478.0,5026.0
01077010400,1.0,478.0,5026.0
01077010600,1.0,478.0,5026.0
01077010700,1.0,478.0,2631.0
01077010800,1.0,478.0,2631.0
01077010901,1.0,478.0,2631.0
01077010902,1.0,478.0,2631.0
01077011000,1.0,478.0,5026.0
01077011101,1.0,478.0,5026.0
01077011102,1.0,478.0,5026.0
01077011200,1.0,478.0,5026.0
01077011300,1.0,478.0,5026.0
01077011401,1.0,478.0,5026.0
01077011402,1.0,478.0,5026.0
01077011502,1.0,478.0,2631.0
01077011503,1.0,478.0,2631.0
01077011504,1.0,478.0,2631.0
01077011602,1.0,478.0,2631.0
01077011603,1.0,478.0,2631.0
01077011605,1.0,478.0,2631.0
01077011606,1.0,478.0,2631.0
01077011700,1.0,478.0,2631.0
01077011801,1.0,478.0,2631.0
01077011802,1.0,478.0,2631.0
01079979100,1.0,478.0,2631.0
01079979201,1.0,478.0,2631.0
01079979202,1.0,478.0,2631.0
01079979300,1.0,478.0,2631.0
01079979400,1.0,478.0,2631.0
01079979501,1.0,478.0,2631.0
01079979502,1.0,478.0,2631.0
01079979600,1.0,478.0,2631.0
01079979700,1.0,478.0,2631.0
01079979800,1.0,478.0,2631.0
01079979900,1.0,478.0,2631.0
01081040201,404.0,2152.0,2670.0
01081040202,404.0,2152.0,2670.0
01081040300,404.0,2152.0,2670.0
01081040401,404.0,2152.0,2670.0
01081040402,404.0,2152.0,2670.0
01081040403,404.0,2152.0,2670.0
01081040501,404.0,2152.0,2670.0
01081040502,404.0,2152.0,2670.0
01081040602,404.0,2152.0,2670.0
01081040603,404.0,2152.0,2670.0
01081040605,404.0,2152.0,2670.0
01081040606,404.0,2152.0,2670.0
01081040607,404.0,2152.0,2670.0
01081040700,404.0,2152.0,2670.0
01081040801,404.0,2152.0,2670.0
01081040802,404.0,2152.0,2670.0
01081040901,404.0,2152.0,2670.0
01081040903,404.0,2152.0,2670.0
01081040904,404.0,2152.0,2670.0
01081041001,404.0,2152.0,2670.0
01081041002,404.0,2152.0,2670.0
01081041101,404.0,2152.0,2670.0
01081041102,404.0,2152.0,2670.0
01081041103,404.0,2152.0,2670.0
01081041104,404.0,2152.0,2670.0
01081041200,404.0,2152.0,2670.0
01081041300,404.0,2152.0,2670.0
01081041400,404.0,2152.0,2670.0
01081041600,404.0,2152.0,2670.0
01081041701,404.0,2152.0,5028.0
01081041702,404.0,2152.0,5028.0
01081041703,404.0,2152.0,2670.0
01081041801,404.0,2152.0,5028.0
01081041802,404.0,2152.0,2670.0
01081041803,404.0,2152.0,2670.0
01081041901,404.0,2152.0,5028.0
01081041902,404.0,2152.0,5028.0
01081041903,404.0,2152.0,5028.0
01081042002,404.0,2152.0,5028.0
01081042003,404.0,2152.0,5028.0
01081042005,404.0,2152.0,5028.0
01081042006,404.0,2152.0,5028.0
01081042007,404.0,2152.0,5028.0
01081042008,404.0,2152.0,5028.0
01081042009,404.0,2152.0,5028.0
01081042101,404.0,2152.0,5028.0
01081042103,404.0,2152.0,5028.0
01081042104,404.0,2152.0,5028.0
01083020101,1.0,478.0,2631.0
01083020103,1.0,478.0,2631.0
