GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290006001000,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006001001,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006001002,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006001003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006001004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006001005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002000,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002001,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002002,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002004,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006002005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006003000,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006003001,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006003002,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006003003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
