GEOID20,District0,District1
360290031003007,33.0,59.0
360290031003008,33.0,59.0
360290031003009,33.0,59.0
360290031003010,33.0,59.0
360290031003011,33.0,59.0
360290031003012,33.0,59.0
360290031003013,33.0,59.0
360290031003014,33.0,59.0
360290031003015,33.0,59.0
360290031003016,33.0,59.0
360290031003017,33.0,59.0
360290031003018,33.0,59.0
360290031004000,33.0,59.0
360290031004001,33.0,60.0
360290031004002,33.0,59.0
360290031004003,33.0,59.0
360290031004004,33.0,59.0
360290031004005,33.0,59.0
360290031004006,33.0,60.0
360290031004007,33.0,60.0
360290031004008,33.0,60.0
360290031004009,33.0,59.0
360290031004010,33.0,59.0
360290031004011,33.0,59.0
360290031004012,33.0,60.0
360290031004013,33.0,60.0
360290031004014,33.0,59.0
360290031004015,33.0,59.0
360290031004016,33.0,60.0
360290031004017,33.0,59.0
360290031004018,33.0,59.0
360290033011000,21.0,59.0
360290033011001,21.0,59.0
360290033011002,21.0,59.0
360290033011003,21.0,59.0
360290033012000,21.0,59.0
360290033012001,21.0,59.0
360290033012002,21.0,59.0
360290033012003,21.0,59.0
360290033012004,21.0,59.0
360290033012005,21.0,59.0
360290033012006,21.0,59.0
360290033012007,21.0,59.0
360290033012008,21.0,59.0
360290033012009,21.0,59.0
360290033012010,21.0,59.0
360290033012011,21.0,59.0
360290033013000,21.0,59.0
360290033013001,21.0,59.0
360290033013002,21.0,59.0
360290033013003,21.0,59.0
360290033013004,21.0,59.0
360290033013005,21.0,59.0
360290033013006,21.0,59.0
360290033014000,21.0,59.0
360290033014001,21.0,59.0
360290033014002,21.0,59.0
360290033014003,21.0,59.0
360290033014004,21.0,59.0
360290033021000,33.0,59.0
360290033021001,33.0,59.0
360290033021002,33.0,59.0
360290033021003,33.0,59.0
360290033021004,33.0,59.0
360290033021005,33.0,59.0
360290033021006,33.0,59.0
360290033021007,33.0,59.0
360290033021008,33.0,59.0
360290033021009,33.0,59.0
360290033021010,33.0,59.0
